"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C4","2","220u","","","","Capacitor_THT:CP_Radial_D10.0mm_P3.50mm","~"
"C2,C5,C8","3","0.1u","","","","Capacitor_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02","~"
"C3,C6,C9","3","1u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C7","1","680u","","","","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","~"
"D1","1","KBP206G","","","","PCM_Diode_THT_AKL:Diode_Bridge_KBP","https://www.tme.eu/Document/d4bb250e05ce14ef0c1e7c773ee2a730/KBP210G.pdf"
"J1,J2,J3,J4,J5,J6,J7,J8,J9","9","Screw_Terminal_01x02","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"K1","1","SANYOU_SRD_Form_C","","","","Relay_THT:Relay_SPDT_SANYOU_SRD_Series_Form_C","http://www.sanyourelay.ca/public/products/pdf/SRD.pdf"
"Q1","1","BC547B","","","","PCM_Package_TO_SOT_THT_AKL:TO-92_Inline_Wide_CBE","https://www.tme.eu/Document/6c5d898a533a0762c2bc33eb26c283a8/BC546-550-DTE.pdf"
"R1,R16","2","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R2,R3","2","330","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R4,R9,R13,R15","4","220","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R5","1","22","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R6","1","10","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R7","1","0.15","","","","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical","~"
"R8,R12","2","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R10","1","470","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R11","1","0.15","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"R14","1","15k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~"
"RV1","1","5k","","","","PCM_Potentiometer_THT_AKL:Potentiometer_Alps_RK163_Single_Horizontal","~"
"RV2,RV3","2","10k","","","","PCM_Potentiometer_THT_AKL:Potentiometer_Alps_RK163_Single_Horizontal","~"
"U1,U2,U3","3","LM317T","","","","PCM_Package_TO_SOT_THT_AKL:TO-220-3_Vertical","https://www.st.com/resource/en/datasheet/lm217.pdf"
"U4","1","LM358P","","","","LM358P:LM358P","https://pl.mouser.com/datasheet/2/389/lm158-954927.pdf"
"U5,U6","2","74LS00","","","","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74ls00"
"U8","1","CD4043BE","","","","footprints:PIN16",""
